food,,,,,,calories,protein,fat,carbs,vata,pitta,kapha,madhra,amla,lavana,katu,titka,kashaya,usna,sitta,madhura,amla.1,katu.1,guru,laghu,snigdha,ruksha,time,vscore,pscore,kscore,label,Diabetes,hypertension
 egg white,,,,,,264,6.4,11,36.2,1,1,-1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,-1,-5,3,pitta,1,1
 barley,,,,,,203.2,3.2,5.1,36.1,-1,1,-1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,-2,0,pitta,1,1
 saffron & turmeric kitchari,,,,,,133,5.4,5.4,35.6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,2,0,0,1,pitta,1,1
 red lentil dal,,,,,,430.5,9.7,1.2,35.5,-1,-1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-1,-1,0,pitta,1,1
 lemon rice with cashew,,,,,,231.1,4.7,8,34.6,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-2,-4,4,pitta,1,1
 potato leek soup with fennel seeds & red pepper flakes,,,,,,366.2,6.35,8.2,34.5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-1,-3,3,pitta,1,1
 cabbage soup diet,,,,,,200.2,8.6,2.6,34.3,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,5,0,-4,kapha,1,1
 coconut curry pumpkin soup,,,,,,367,5.8,0.5,33.2,-1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,4,1,-3,kapha,1,1
 butternut squash over coconut quinoa with basil,,,,,,196,5,5,32,1,1,-1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,-3,-1,1,vata,1,1
 salmon quinoa burger,,,,,,126.4,5.7,0.3,31.3,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-2,-2,2,pitta,1,1
 ginger dal,,,,,,245.3,10.1,3,30.7,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,-1,kapha,1,1
 curried chickpea with carrots,,,,,,147.4,6,2.7,30.6,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-2,-2,2,pitta,1,1
 parsnip,,,,,,170.5,4,3.8,30,-1,1,-1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,-1,-1,-1,kapha,1,1
 beet cleanse soup,,,,,,130,2,0,30,-1,1,-1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,-1,-1,-1,kapha,1,1
